year,avg_flood_days,trend,notes
1960,1.8,1.8,NOAA High Tide Flooding Annual Report
1961,1.9,1.9,NOAA High Tide Flooding Annual Report
1962,1.9,1.9,NOAA High Tide Flooding Annual Report
1963,2.0,2.0,NOAA High Tide Flooding Annual Report
1964,2.0,2.0,NOAA High Tide Flooding Annual Report
1965,2.0,2.0,NOAA High Tide Flooding Annual Report
1966,2.1,2.1,NOAA High Tide Flooding Annual Report
1967,2.1,2.1,NOAA High Tide Flooding Annual Report
1968,2.2,2.2,NOAA High Tide Flooding Annual Report
1969,2.2,2.2,NOAA High Tide Flooding Annual Report
1970,2.3,2.3,NOAA High Tide Flooding Annual Report
1971,2.3,2.3,NOAA High Tide Flooding Annual Report
1972,2.4,2.4,NOAA High Tide Flooding Annual Report
1973,2.4,2.4,NOAA High Tide Flooding Annual Report
1974,2.5,2.5,NOAA High Tide Flooding Annual Report
1975,2.6,2.6,NOAA High Tide Flooding Annual Report
1976,2.6,2.6,NOAA High Tide Flooding Annual Report
1977,2.7,2.7,NOAA High Tide Flooding Annual Report
1978,2.7,2.7,NOAA High Tide Flooding Annual Report
1979,2.8,2.8,NOAA High Tide Flooding Annual Report
1980,2.9,2.9,NOAA High Tide Flooding Annual Report
1981,3.0,3.0,NOAA High Tide Flooding Annual Report
1982,3.0,3.0,NOAA High Tide Flooding Annual Report
1983,3.1,3.1,NOAA High Tide Flooding Annual Report
1984,3.1,3.1,NOAA High Tide Flooding Annual Report
1985,3.3,3.3,NOAA High Tide Flooding Annual Report
1986,3.3,3.3,NOAA High Tide Flooding Annual Report
1987,3.4,3.4,NOAA High Tide Flooding Annual Report
1988,3.5,3.5,NOAA High Tide Flooding Annual Report
1989,3.6,3.6,NOAA High Tide Flooding Annual Report
1990,3.8,3.8,NOAA High Tide Flooding Annual Report
1991,3.9,3.9,NOAA High Tide Flooding Annual Report
1992,4.0,4.0,NOAA High Tide Flooding Annual Report
1993,4.0,4.0,NOAA High Tide Flooding Annual Report
1994,4.1,4.1,NOAA High Tide Flooding Annual Report
1995,4.3,4.3,NOAA High Tide Flooding Annual Report
1996,4.4,4.4,NOAA High Tide Flooding Annual Report
1997,4.5,4.5,NOAA High Tide Flooding Annual Report
1998,4.7,4.7,NOAA High Tide Flooding Annual Report
1999,4.9,4.9,NOAA High Tide Flooding Annual Report
2000,5.2,5.2,NOAA High Tide Flooding Annual Report
2001,5.4,5.4,NOAA High Tide Flooding Annual Report
2002,5.6,5.6,NOAA High Tide Flooding Annual Report
2003,5.8,5.8,NOAA High Tide Flooding Annual Report
2004,6.0,6.0,NOAA High Tide Flooding Annual Report
2005,6.5,6.5,NOAA High Tide Flooding Annual Report
2006,6.8,6.8,NOAA High Tide Flooding Annual Report
2007,7.1,7.1,NOAA High Tide Flooding Annual Report
2008,7.6,7.6,NOAA High Tide Flooding Annual Report
2009,7.9,7.9,NOAA High Tide Flooding Annual Report
2010,8.3,8.3,NOAA High Tide Flooding Annual Report
2011,9.2,9.2,NOAA High Tide Flooding Annual Report
2012,9.8,9.8,NOAA High Tide Flooding Annual Report
2013,10.7,10.7,NOAA High Tide Flooding Annual Report
2014,11.5,11.5,NOAA High Tide Flooding Annual Report
2015,12.8,12.8,NOAA High Tide Flooding Annual Report
2016,14.2,14.2,NOAA High Tide Flooding Annual Report
2017,15.1,15.1,NOAA High Tide Flooding Annual Report
2018,16.4,16.4,NOAA High Tide Flooding Annual Report
2019,18.0,18.0,NOAA High Tide Flooding Annual Report
2020,19.3,19.3,NOAA High Tide Flooding Annual Report
2021,21.0,21.0,NOAA High Tide Flooding Annual Report
2022,22.5,22.5,NOAA High Tide Flooding Annual Report
2023,24.4,24.4,NOAA High Tide Flooding Annual Report
